0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
8773.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.4,2.0,3.0,11.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
6709.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,9.0,1.0,10.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0
1463.0,9.0,301.0,0.0,0.0,38.0,2621.621429,0.021212,0.044508,10.721172,0.0,8.0,1.0,10.0,0.0,14.0,2.0,0.0,33.44444444444444,0.0,68.99003760526315,0.0
4095.0,2.0,13.333333,0.0,0.0,105.0,2062.443592,0.012205,0.020276,0.0,0.6,2.0,5.0,10.0,0.0,7.0,2.0,0.0,6.6666665,0.0,19.642319923809524,0.0
3346.0,0.0,0.0,0.0,0.0,19.0,220.384849,0.010526,0.024642,0.0,0.0,2.0,1.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,11.599202578947368,0.0
8438.0,0.0,0.0,0.0,0.0,12.0,460.2,0.061111,0.111111,0.0,0.0,4.0,1.0,10.0,1.0,7.0,2.0,0.0,0.0,0.0,38.35,0.0
8962.0,11.0,192.847619,0.0,0.0,186.0,6975.887249,0.003163,0.009297,14.458295,0.0,8.0,3.0,3.0,6.0,4.0,2.0,0.0,17.53160172727273,0.0,37.50477015591398,1.0
1700.0,7.0,98.466667,0.0,0.0,13.0,257.933333,0.0,0.016,0.0,0.0,6.0,1.0,10.0,6.0,7.0,2.0,0.0,14.066666714285715,0.0,19.841025615384616,0.0
6204.0,1.0,10.0,0.0,0.0,11.0,753.5,0.02,0.04,0.0,0.0,8.0,1.0,10.0,5.0,4.0,2.0,0.0,10.0,0.0,68.5,0.0
3935.0,3.0,922.75,0.0,0.0,56.0,4681.420833,0.007119,0.022669,0.0,0.0,8.0,1.0,10.0,0.0,14.0,2.0,0.0,307.5833333333333,0.0,83.59680058928572,0.0
5116.0,1.0,21.0,0.0,0.0,16.0,375.916667,0.0,0.007143,0.0,0.0,9.0,3.0,3.0,0.0,4.0,1.0,0.0,21.0,0.0,23.4947916875,0.0
2031.0,0.0,0.0,0.0,0.0,9.0,1726.5,0.0,0.05,0.0,0.0,9.0,1.0,1.0,3.0,8.0,2.0,0.0,0.0,0.0,191.83333333333334,0.0
7274.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.1,0.0,0.0,5.0,3.0,3.0,0.0,7.0,2.0,1.0,0.0,0.0,6.0,0.0
2633.0,4.0,106.5,0.0,0.0,12.0,806.25,0.0125,0.029167,0.0,0.0,9.0,1.0,10.0,0.0,4.0,2.0,0.0,26.625,0.0,67.1875,0.0
3557.0,0.0,0.0,0.0,0.0,11.0,300.071429,0.0,0.02,53.9892,0.0,1.0,1.0,10.0,0.0,15.0,2.0,1.0,0.0,0.0,27.27922081818182,1.0
1501.0,4.0,117.32,2.0,15.0,230.0,6978.613711,0.015328,0.036531,0.0,0.0,4.0,1.0,10.0,1.0,8.0,2.0,1.0,29.33,7.5,30.34179874347826,0.0
8546.0,7.0,144.461538,4.0,167.166667,111.0,2312.337853,0.005128,0.013888,8.191923,0.0,8.0,3.0,3.0,0.0,4.0,2.0,0.0,20.63736257142857,41.79166675,20.831872549549548,1.0
653.0,2.0,50.5,0.0,0.0,29.0,2147.375,0.0,0.006897,0.0,0.0,9.0,1.0,10.0,3.0,4.0,1.0,0.0,25.25,0.0,74.04741379310344,0.0
3966.0,2.0,256.0,0.0,0.0,14.0,574.5,0.0,0.014286,0.0,0.0,2.0,5.0,9.0,7.0,15.0,1.0,0.0,128.0,0.0,41.035714285714285,0.0
5558.0,10.0,1751.047619,3.0,69.0,22.0,1552.547619,0.013725,0.07049,4.279294,0.0,2.0,1.0,1.0,5.0,12.0,2.0,0.0,175.1047619,23.0,70.57034631818182,0.0
702.0,1.0,37.2,0.0,0.0,14.0,387.766667,0.013333,0.031111,0.0,0.0,7.0,3.0,11.0,6.0,8.0,2.0,0.0,37.2,0.0,27.69761907142857,0.0
6194.0,0.0,0.0,0.0,0.0,7.0,259.0,0.028571,0.057143,0.0,0.0,8.0,1.0,10.0,7.0,4.0,2.0,0.0,0.0,0.0,37.0,0.0
1885.0,3.0,30.5,0.0,0.0,23.0,422.730303,0.008333,0.0125,0.0,0.0,2.0,1.0,10.0,0.0,7.0,2.0,0.0,10.166666666666666,0.0,18.379578391304346,0.0
4856.0,2.0,49.0,1.0,127.0,4.0,188.0,0.033333,0.0375,0.0,0.0,1.0,5.0,10.0,6.0,4.0,2.0,0.0,24.5,127.0,47.0,0.0
4631.0,5.0,33.0,0.0,0.0,54.0,1835.066667,0.003774,0.011321,0.0,0.0,2.0,1.0,10.0,2.0,7.0,2.0,0.0,6.6,0.0,33.98271605555556,0.0
8274.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,1.0,1.0,10.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0
1039.0,0.0,0.0,0.0,0.0,25.0,612.583333,0.008333,0.0125,0.0,0.8,2.0,5.0,10.0,0.0,14.0,2.0,0.0,0.0,0.0,24.503333320000003,0.0
2710.0,0.0,0.0,0.0,0.0,27.0,2098.238095,0.037037,0.043519,0.0,0.8,2.0,1.0,10.0,0.0,12.0,2.0,0.0,0.0,0.0,77.71252203703705,0.0
8066.0,5.0,85.333333,3.0,8.0,213.0,8591.591742,0.003994,0.015877,8.024866,0.0,8.0,1.0,10.0,0.0,5.0,2.0,0.0,17.066666599999998,2.6666666666666665,40.336111464788736,1.0
7869.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,2.0,1.0,10.0,1.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0
1464.0,10.0,593.466667,1.0,21.2,39.0,1110.966667,0.004255,0.010993,112.440621,0.0,6.0,0.0,10.0,3.0,4.0,2.0,0.0,59.3466667,21.2,28.48632479487179,0.0
2275.0,15.0,169.033333,0.0,0.0,223.0,2477.53655,0.0,0.003694,0.179827,0.0,7.0,1.0,10.0,3.0,12.0,2.0,1.0,11.268888866666666,0.0,11.110029372197308,0.0
